code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
00034703U3,34 Boulevard de vaugirard,ORANGE,2021-12-14,2021-12-14,2021-12-14,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.3172705005947303, 48.84135300017788], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3172705005947303, 'lat': 48.84135300017788}"
T15218,38 Rue condorcet,BOUYGUES,2013-12-01,,,,,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.3449347808858967, 48.880010127615336], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3449347808858967, 'lat': 48.880010127615336}"
756156,4 Rue d'alexandrie,SFR,,,,,2G/3G/4G,75002,"{'type': 'Feature', 'geometry': {'coordinates': [2.3512275004693115, 48.86803799955429], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3512275004693115, 'lat': 48.86803799955429}"
75119_081_01,4 Rue georges auric,FREE MOBILE,2023-11-08,2023-11-08,2023-11-16,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.38689450057501, 48.8847690000028], 'type': 'Point'}, 'properties': {}}","{'lon': 2.38689450057501, 'lat': 48.8847690000028}"
T10925,40 Rue lacépède,BOUYGUES,1998-10-02,,,,,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.3505012491615846, 48.8442981258989], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3505012491615846, 'lat': 48.8442981258989}"
7510057993,40 Rue lacépède,SFR,2024-07-04,,,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.350453499347541, 48.84427799975881], 'type': 'Point'}, 'properties': {}}","{'lon': 2.350453499347541, 'lat': 48.84427799975881}"
T15148,41 Avenue foch,BOUYGUES,2005-12-16,,,,,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.284411499475747, 48.872106000150005], 'type': 'Point'}, 'properties': {}}","{'lon': 2.284411499475747, 'lat': 48.872106000150005}"
75107_014_03,42 Avenue de la bourdonnais,FREE MOBILE,2014-02-21,2014-02-21,2023-09-27,,3G/4G/5G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3005979993278953, 48.857183999996266], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3005979993278953, 'lat': 48.857183999996266}"
75116_020_07,46 Avenue mozart,FREE MOBILE,2018-04-25,2018-04-24,,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.270231999335027, 48.8556990002552], 'type': 'Point'}, 'properties': {}}","{'lon': 2.270231999335027, 'lat': 48.8556990002552}"
75109_039_01,46 Rue de dunkerque,FREE MOBILE,2021-07-28,2021-07-28,2021-09-02,,3G/4G/5G,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.3488560004112276, 48.88143000006873], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3488560004112276, 'lat': 48.88143000006873}"
